The Art Space,5,"Headway East London Timber Wharf Block B, 238-240 Kingsland Road London E2 8AX 020 7749 7790 michelle.carlile@headwayeastlondon.org",,
Hoxton Hall,-6,"130 Hoxton Street London, London N1 6SH N1 6SH 020 7684 0060 Siva@hoxtonhall.co.uk",,Contact details
Broadway Market,4,"29C, Broadway Market London E8 4PH 07872 463409 apj.maddox@gmail.com",,
Timber Wharf Time Bank,-135.5,"Bradbury House, Timber Wharf Block B 238-240 Kingsland Road London E2 8AX 020 7749 7790 timebank@headwayeastlondon.org",,
Institute of International Visual Arts,0,Rivington Place EC2A 3BA npopovic@iniva.org,,
Acorn Lodge,-1.5, London,,
Arcola Theatre,-87,27 Arcola Street London E8 2DJ 02075031646 boxoffice@arcolatheatre.com,,
Hackney City Farm,0, 02077296381 gustavo@hackneycityfarm.co.uk,,
Shoreditch Trust,-13,Units 1–2 Waterhouse 8 Orsman Road London N1 5QJ 0844 225 2051 lorraine@shoreditchspa.org.uk,,
Headway East London,-26.5,Timber Wharf Block B 238-240 Kingsland Road London E2 8AX 020 7749 7790,,
